PERSON_TYPE,PERSON_AGE,PERSON_INJURY,EJECTION,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PERSON_SEX
Bicyclist,21-50,Injured,Not Ejected,Entire Body,Driver,None,,,Complaint of Pain or Nausea,F
Occupant,21-50,Killed,Ejected,Entire Body,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Internal,M
Occupant,21-50,Injured,,,,,,,,
Pedestrian,21-50,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Internal,M
Bicyclist,0-20,Injured,Partially Ejected,Shoulder - Upper Arm,Driver,Helmet Only (In-Line Skater/Bicyclist),,,Complaint of Pain,M
Occupant,0-20,Injured,,,,,,,,
Bicyclist,21-50,Injured,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Pedestrian,71-100,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Unknown,M
Occupant,51-70,Injured,Not Ejected,Chest,Driver,Lap Belt & Harness,,,Complaint of Pain,F
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Knee-Lower Leg Foot,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt,,,Complaint of Pain or Nausea,F
Occupant,21-50,Injured,,,,,,,,
Occupant,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Bicyclist,21-50,Injured,,,,,,,,
Occupant,71-100,Injured,,,,,,,,
Occupant,21-50,Killed,Trapped,Head,Driver,Air Bag Deployed,,,Internal,F
Pedestrian,51-70,Killed,,Hip-Upper Leg,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Not in Roadway,Amputation,F
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,0-20,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Fracture - Dislocation,M
Pedestrian,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,21-50,Killed,Does Not Apply,Head,Does Not Apply,-,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, Marked Crosswalk",Internal,M
Occupant,,Injured,Does Not Apply,Does Not Apply,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,Minor Bleeding,M
Occupant,0-20,Injured,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Bicyclist,21-50,Injured,Ejected,Face,Driver,None,,,Minor Bleeding,M
Occupant,0-20,Killed,,,,,,,,
Pedestrian,51-70,Injured,,Head,Does Not Apply,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain,M
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,Not Ejected,Head,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",None,,,Internal,M
Occupant,51-70,Killed,Not Ejected,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,M
Pedestrian,21-50,Injured,,Chest,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain,M
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Occupant,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,51-70,Killed,Partially Ejected,Entire Body,Driver,None,,,Crush Injuries,M
Occupant,21-50,Killed,Ejected,Head,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,21-50,Injured,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Complaint of Pain or Nausea,F
Occupant,71-100,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Face,Driver,Air Bag Deployed/Lap Belt/Harness,,,Complaint of Pain or Nausea,M
Pedestrian,51-70,Killed,,,,,,,,
Occupant,71-100,Killed,,,,,,,,
Occupant,0-20,Injured,Ejected,Knee-Lower Leg Foot,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",None,,,Crush Injuries,M
Bicyclist,21-50,Injured,,,,,,,,
Occupant,0-20,Injured,Not Ejected,Knee-Lower Leg Foot,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain,M
Occupant,0-20,Injured,Not Ejected,Head,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Occupant,21-50,Injured,Not Ejected,Hip-Upper Leg,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Occupant,71-100,Killed,Not Ejected,Unknown,Driver,Lap Belt & Harness,,,Unknown,M
Occupant,21-50,Killed,Ejected,Entire Body,Driver,Helmet (Motorcycle Only),,,None Visible,M
Occupant,21-50,Injured,Does Not Apply,Neck,Driver,Lap Belt & Harness,,,Unknown,F
Pedestrian,21-50,Killed,,Chest,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Internal,F
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Internal,F
Occupant,0-20,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Complaint of Pain,M
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,Ejected,Face,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",None,,,Minor Bleeding,F
Pedestrian,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Hip-Upper Leg,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Pedestrian,0-20,Killed,,,,,,,,
Occupant,71-100,Injured,Not Ejected,Neck,Driver,Unknown,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Ejected,Head,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Helmet (Motorcycle Only),,,Abrasion,F
Occupant,21-50,Injured,,,,,,,,
Occupant,71-100,Killed,Not Ejected,Back,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Lap Belt,,,Complaint of Pain,F
Occupant,51-70,Injured,,,,,,,,
Occupant,21-50,Killed,Ejected,Abdomen - Pelvis,Driver,Helmet (Motorcycle Only),,,Internal,M
Occupant,21-50,Killed,Not Ejected,Head,Unknown,None,Does Not Apply,Other Actions in Roadway,Severe Bleeding,M
Occupant,0-20,Killed,,,,,,,,
Pedestrian,0-20,Injured,,,,,,,,
Occupant,21-50,Killed,Trapped,Entire Body,Driver,Air Bag Deployed/Lap Belt/Harness,,,Internal,M
Occupant,21-50,Killed,Ejected,Chest,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,0-20,Killed,,,,,,,,
Occupant,0-20,Injured,Ejected,Shoulder - Upper Arm,"Middle rear seat, or passenger lying across a seat",None,,,Complaint of Pain or Nausea,F
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,51-70,Injured,Not Ejected,Back,Driver,Unknown,,,Complaint of Pain,M
Pedestrian,21-50,Killed,,,,,,,,
Occupant,71-100,Injured,Not Ejected,Shoulder - Upper Arm,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,Not Ejected,Chest,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Bicyclist,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,0-20,Injured,Not Ejected,Chest,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Concussion,F
Occupant,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Minor Bleeding,F
Occupant,0-20,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,Whiplash,M
Pedestrian,21-50,Injured,,,,,,,,
Occupant,51-70,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Complaint of Pain,M
Occupant,21-50,Killed,,,,,,,,
Occupant,51-70,Injured,Not Ejected,Back,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Whiplash,F
Occupant,51-70,Killed,,,,,,,,
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Severe Bleeding,M
Occupant,21-50,Killed,Ejected,Entire Body,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Unknown,,,Internal,F
Occupant,21-50,Injured,,,,,,,,
Pedestrian,51-70,Killed,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Internal,M
Pedestrian,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Severe Bleeding,F
Occupant,21-50,Killed,Not Ejected,Head,Driver,Lap Belt,,,None Visible,M
Pedestrian,51-70,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Neck,"Middle rear seat, or passenger lying across a seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Occupant,21-50,Injured,Not Ejected,Knee-Lower Leg Foot,Driver,Lap Belt & Harness,,,Complaint of Pain,F
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Internal,M
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Crush Injuries,M
Occupant,21-50,Killed,Ejected,Chest,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Knee-Lower Leg Foot,Driver,Lap Belt & Harness,,,None Visible,M
Pedestrian,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, or Crosswalk",Minor Bleeding,F
Pedestrian,51-70,Killed,,Abdomen - Pelvis,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Internal,M
Occupant,0-20,Injured,Not Ejected,Hip-Upper Leg,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Bicyclist,51-70,Injured,Not Ejected,Chest,Driver,Helmet Only (In-Line Skater/Bicyclist),,,Complaint of Pain,F
Occupant,0-20,Injured,,,,,,,,
Bicyclist,51-70,Killed,Not Ejected,Head,Driver,None,,,Internal,M
Pedestrian,51-70,Injured,,,,,,,,
Occupant,0-20,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,71-100,Killed,,Chest,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unknown,Internal,F
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,51-70,Killed,Ejected,Head,Driver,None,,,Fracture - Distorted - Dislocation,M
Occupant,,Injured,Does Not Apply,Elbow-Lower-Arm-Hand,Right rear passenger or motorcycle sidecar passenger,None,,,Complaint of Pain,F
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Back,"Front passenger, if two or more persons, including the driver, are in the front seat",Unknown,,,Complaint of Pain or Nausea,F
Pedestrian,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,51-70,Killed,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Severe Bleeding,F
Occupant,21-50,Killed,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,71-100,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Back,Driver,Unknown,,,None Visible,M
Occupant,21-50,Injured,Does Not Apply,Chest,Driver,Lap Belt & Harness,,,Complaint of Pain,M
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Entire Body,Driver,Lap Belt,,,None Visible,M
Occupant,21-50,Injured,,,,,,,,
Occupant,51-70,Killed,,,,,,,,
Pedestrian,0-20,Injured,,,,,,,,
Occupant,51-70,Injured,Partially Ejected,Head,Driver,None,,,Abrasion,M
Occupant,21-50,Injured,Not Ejected,Back,Driver,Unknown,,,Complaint of Pain,M
Occupant,51-70,Injured,,,,,,,,
Bicyclist,21-50,Killed,Ejected,Head,Driver,None,,,Severe Bleeding,M
Occupant,0-20,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,Trapped,Entire Body,Driver,None,,,Internal,M
Occupant,21-50,Killed,Not Ejected,Unknown,Driver,Unknown,,,Internal,M
Occupant,21-50,Injured,Not Ejected,Unknown,Driver,Lap Belt & Harness,,,Unknown,M
Occupant,21-50,Killed,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,51-70,Killed,Ejected,Head,Driver,Helmet (Motorcycle Only),,,Fracture - Dislocation,M
Occupant,51-70,Injured,,,,,,,,
Occupant,21-50,Killed,Not Ejected,Head,Driver,None,,,Internal,F
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Chest,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Pedestrian,51-70,Injured,,Hip-Upper Leg,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Complaint of Pain or Nausea,F
Occupant,0-20,Injured,Not Ejected,Neck,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Unknown,,,Whiplash,F
Pedestrian,21-50,Killed,,Unknown,,,Does Not Apply,Not in Roadway,Unknown,M
Occupant,51-70,Injured,,,,,,,,
Bicyclist,0-20,Killed,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,0-20,Injured,Not Ejected,Neck,Right rear passenger or motorcycle sidecar passenger,Lap Belt,,,Complaint of Pain,F
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,Driver,Lap Belt & Harness,,,Complaint of Pain,M
Pedestrian,51-70,Injured,,Hip-Upper Leg,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Contusion - Bruise,M
Pedestrian,51-70,Killed,,,,,,,,
Occupant,51-70,Killed,Not Ejected,Unknown,Driver,Unknown,,,Unknown,M
Bicyclist,21-50,Injured,Not Ejected,Elbow-Lower-Arm-Hand,Driver,Helmet Only (In-Line Skater/Bicyclist),,,Complaint of Pain,M
Occupant,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Fracture - Distorted - Dislocation,M
Occupant,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Complaint of Pain,F
Occupant,0-20,Injured,Not Ejected,Unknown,Unknown,None,,,None Visible,M
Occupant,21-50,Injured,,,,,,,,
Pedestrian,21-50,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Unknown,M
Occupant,21-50,Killed,,,,,,,,
Occupant,51-70,Killed,Not Ejected,Head,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",None,,,Complaint of Pain,F
Occupant,0-20,Injured,Partially Ejected,Unknown,Riding/Hanging on Outside,None,,,Abrasion,F
Occupant,21-50,Injured,Not Ejected,Head,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Occupant,21-50,Injured,,,,,,,,
Occupant,0-20,Injured,Not Ejected,Hip-Upper Leg,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Pedestrian,0-20,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Severe Bleeding,F
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Internal,M
Occupant,0-20,Killed,Not Ejected,Does Not Apply,"Middle rear seat, or passenger lying across a seat",None,,,Does Not Apply,M
Pedestrian,71-100,Killed,,,,,,,,
Occupant,0-20,Killed,Partially Ejected,Entire Body,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Air Bag Deployed,,,Internal,F
Occupant,51-70,Killed,Not Ejected,Unknown,Driver,Unknown,,,None Visible,M
Occupant,21-50,Injured,Not Ejected,Back,Right rear passenger or motorcycle sidecar passenger,Unknown,,,Complaint of Pain,M
Occupant,21-50,Injured,,,,,,,,
Pedestrian,51-70,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain or Nausea,M
Occupant,21-50,Killed,Not Ejected,Entire Body,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Internal,F
Pedestrian,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,Partially Ejected,Chest,Driver,Helmet (Motorcycle Only),,,Internal,M
Occupant,21-50,Injured,Not Ejected,Neck,Right rear passenger or motorcycle sidecar passenger,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Not in Roadway,Severe Bleeding,M
Bicyclist,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,21-50,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain,F
Pedestrian,71-100,Killed,,Unknown,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unknown,Unknown,M
Occupant,71-100,Killed,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Chest,Driver,Lap Belt,,,Whiplash,M
Pedestrian,71-100,Killed,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Occupant,71-100,Injured,Not Ejected,Unknown,Driver,Lap Belt & Harness,,,None Visible,M
Occupant,51-70,Killed,Not Ejected,Chest,Driver,Air Bag Deployed/Lap Belt/Harness,,,Internal,M
Occupant,51-70,Killed,,,,,,,,
Occupant,51-70,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Bicyclist,21-50,Injured,Not Ejected,Shoulder - Upper Arm,Driver,Helmet Only (In-Line Skater/Bicyclist),,,Abrasion,M
Occupant,21-50,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,Complaint of Pain,F
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Severe Bleeding,M
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Head,Driver,Lap Belt & Harness,,,Complaint of Pain,M
Occupant,71-100,Killed,Not Ejected,Entire Body,Driver,Air Bag Deployed,,,Internal,M
Occupant,51-70,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,,,,,,,,
Occupant,0-20,Injured,Not Ejected,Neck,"Front passenger, if two or more persons, including the driver, are in the front seat",None,,,None Visible,F
Occupant,21-50,Killed,Not Ejected,Knee-Lower Leg Foot,Driver,Helmet (Motorcycle Only),,,Internal,M
Occupant,21-50,Injured,Not Ejected,Knee-Lower Leg Foot,Driver,Lap Belt & Harness,,,None Visible,M
Occupant,21-50,Killed,Not Ejected,Head,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",None,,,Unknown,M
Occupant,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Severe Bleeding,F
Pedestrian,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,Right rear passenger or motorcycle sidecar passenger,Unknown,,,Fracture - Distorted - Dislocation,F
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Other Actions in Roadway,Severe Bleeding,M
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,Not Ejected,Chest,Driver,Helmet (Motorcycle Only),,,Internal,M
Occupant,21-50,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,0-20,Killed,,,,,,,,
Bicyclist,21-50,Killed,Ejected,Head,Riding/Hanging on Outside,None,,,Severe Bleeding,M
Occupant,21-50,Injured,Not Ejected,Entire Body,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,None Visible,F
Occupant,0-20,Killed,,,,,,,,
Bicyclist,51-70,Killed,Ejected,Head,Driver,None,,,Severe Bleeding,M
Bicyclist,51-70,Killed,,,,,,,,
Pedestrian,51-70,Killed,,,,,,,,
Bicyclist,0-20,Killed,Ejected,Head,Driver,Helmet Only (In-Line Skater/Bicyclist),,,Fracture - Distorted - Dislocation,M
Occupant,21-50,Injured,Not Ejected,Head,Driver,Lap Belt,,,Complaint of Pain,F
Bicyclist,21-50,Killed,Ejected,Head,Driver,Helmet/Other (In-Line Skater/Bicyclist),,,Minor Bleeding,F
Occupant,21-50,Injured,Not Ejected,Unknown,Right rear passenger or motorcycle sidecar passenger,Unknown,,,Complaint of Pain,F
Occupant,0-20,Killed,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Occupant,51-70,Injured,Not Ejected,Head,Driver,None,,,Contusion - Bruise,M
Pedestrian,71-100,Killed,,Hip-Upper Leg,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, Marked Crosswalk",Crush Injuries,M
Bicyclist,51-70,Killed,Ejected,Head,Driver,None,,,Severe Bleeding,F
Occupant,51-70,Injured,,,,,,,,
Occupant,21-50,Killed,Ejected,Head,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Killed,Ejected,Entire Body,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,21-50,Killed,,Head,,,Unknown,Unknown,Internal,M
Pedestrian,21-50,Injured,,Shoulder - Upper Arm,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Complaint of Pain or Nausea,F
Bicyclist,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,Ejected,Head,Riding/Hanging on Outside,Helmet Only (In-Line Skater/Bicyclist),,,Fracture - Distorted - Dislocation,M
Pedestrian,71-100,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Internal,F
Bicyclist,51-70,Injured,Partially Ejected,Abdomen - Pelvis,Driver,Helmet/Other (In-Line Skater/Bicyclist),,,Complaint of Pain or Nausea,F
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Internal,M
Occupant,21-50,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Pedestrian,51-70,Killed,,,,,,,,
Occupant,21-50,Killed,Ejected,Head,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Severe Bleeding,M
Occupant,21-50,Killed,Ejected,Entire Body,Right rear passenger or motorcycle sidecar passenger,Air Bag Deployed,,,Crush Injuries,F
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Entire Body,Driver,Lap Belt & Harness,,,Whiplash,M
Pedestrian,21-50,Injured,,Hip-Upper Leg,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Not in Roadway,Internal,F
Occupant,21-50,Injured,Not Ejected,Back,Driver,Unknown,,,Complaint of Pain or Nausea,M
Occupant,51-70,Killed,Not Ejected,Chest,Driver,Lap Belt & Harness,,,Internal,M
Occupant,21-50,Injured,Not Ejected,Neck,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,None Visible,F
Occupant,21-50,Injured,,,,,,,,
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Not in Roadway,Crush Injuries,F
Bicyclist,21-50,Injured,Not Ejected,Knee-Lower Leg Foot,Riding/Hanging on Outside,None,,,Complaint of Pain,M
Occupant,71-100,Killed,Not Ejected,Head,Driver,None,,,Severe Bleeding,F
Pedestrian,51-70,Killed,,Abdomen - Pelvis,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Internal,F
Occupant,0-20,Injured,Not Ejected,Shoulder - Upper Arm,Right rear passenger or motorcycle sidecar passenger,Lap Belt & Harness,,,Complaint of Pain,M
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,Not Ejected,Entire Body,Driver,Air Bag Deployed/Lap Belt/Harness,,,Internal,M
Occupant,51-70,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Head,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Unknown,F
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Internal,F
Pedestrian,51-70,Injured,,,,,,,,
Pedestrian,21-50,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, Marked Crosswalk",Complaint of Pain,M
Pedestrian,0-20,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Severe Bleeding,M
Occupant,0-20,Injured,Not Ejected,Abdomen - Pelvis,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain,M
